date,time,tempC,tempF,pressurePA,presureMB,light,R,G,B,heading,magnetometer0,magnetometer1,magnetometer2,accelX,accelY,accelZ,anal0,anal1,anal2,anal3,leds
2018-03-11,18:18,26.91,80.44,98553.97,985.54,61,104,112,125,336.97,2089,-1203,-5017,-0.01,0.05,1.0,0.561,0.543,0.549,0.585,OFF
2018-03-11,18:35,27.12,80.81,98580.4,985.8,245,106,83,94,336.57,2098,-1197,-4989,-0.01,0.05,1.0,0.516,0.57,0.582,0.555,ON
2018-03-11,19:05,26.77,80.18,98598.58,985.99,396,165,133,137,335.08,2100,-1212,-4998,-0.0,0.05,0.99,0.549,0.558,0.537,0.612,ON
2018-03-11,19:35,26.96,80.54,98623.3,986.23,386,165,132,137,334.93,2084,-1182,-5020,-0.0,0.05,1.01,0.567,0.549,0.552,0.579,ON
2018-03-11,20:05,26.9,80.41,98638.49,986.38,394,165,133,137,336.13,2102,-1170,-5048,-0.0,0.05,1.0,0.522,0.603,0.516,0.603,ON
2018-03-11,20:35,26.78,80.21,98627.85,986.28,398,165,133,138,335.04,2057,-1163,-5001,-0.0,0.05,1.0,0.543,0.564,0.537,0.612,ON
2018-03-11,21:05,26.56,79.81,98627.19,986.27,395,166,133,138,335.65,2073,-1246,-5052,-0.0,0.05,1.01,0.537,0.546,0.585,0.519,ON
2018-03-11,21:35,26.56,79.8,98624.49,986.24,396,166,133,137,334.3,2073,-1210,-5041,-0.01,0.05,1.0,0.561,0.531,0.591,0.537,ON
2018-03-11,22:05,26.48,79.66,98625.45,986.25,399,166,134,138,335.27,2044,-1214,-5015,-0.01,0.05,0.99,0.519,0.564,0.555,0.543,ON
2018-03-11,22:35,26.38,79.49,98551.24,985.51,393,166,133,138,334.68,2096,-1171,-5021,-0.01,0.05,0.99,0.516,0.561,0.561,0.543,ON
2018-03-11,23:05,26.21,79.18,98582.39,985.82,397,166,134,138,335.66,2083,-1165,-5042,-0.0,0.05,0.99,0.528,0.558,0.555,0.555,ON
2018-03-11,23:35,26.55,79.79,98598.56,985.99,193,231,194,192,335.08,2054,-1171,-5063,-0.01,0.05,1.0,0.531,0.585,0.522,0.627,OFF
