date,time,tempC,tempF,pressurePA,presureMB,light,R,G,B,heading,magnetometer0,magnetometer1,magnetometer2,accelX,accelY,accelZ,anal0,anal1,anal2,anal3,leds
2018-03-15,00:05,25.01,77.02,96974.83,969.75,395,165,132,137,335.8,2088,-1165,-5045,-0.01,0.05,1.0,0.561,0.522,0.561,0.618,ON
2018-03-15,00:35,24.92,76.85,96988.4,969.88,286,139,106,111,334.65,2153,-1204,-5083,-0.01,0.05,0.99,0.516,0.597,0.54,0.585,ON
2018-03-15,01:05,25.07,77.12,96992.13,969.92,211,107,78,88,335.44,2062,-1218,-5057,-0.01,0.05,1.0,0.561,0.567,0.528,0.57,ON
2018-03-15,01:35,25.0,77.0,97002.69,970.03,211,107,78,88,334.57,2111,-1202,-5043,-0.01,0.05,1.0,0.516,0.564,0.591,0.567,ON
2018-03-15,02:05,24.92,76.86,97011.71,970.12,211,107,78,88,333.72,2079,-1219,-5037,-0.01,0.04,0.99,0.531,0.561,0.555,0.549,ON
2018-03-15,02:35,25.14,77.25,97012.78,970.13,211,107,78,88,334.58,2138,-1223,-5020,-0.01,0.05,1.01,0.525,0.561,0.555,0.546,ON
2018-03-15,03:05,24.92,76.85,97001.79,970.02,211,107,78,88,334.88,2097,-1211,-5062,-0.01,0.05,0.99,0.519,0.6,0.537,0.6,ON
2018-03-15,03:35,25.28,77.51,96959.53,969.6,211,107,79,88,335.53,2081,-1239,-5069,-0.01,0.05,1.01,0.549,0.531,0.591,0.525,ON
2018-03-15,04:05,25.21,77.38,96949.61,969.5,211,107,79,88,334.54,2128,-1238,-5084,-0.01,0.05,1.01,0.582,0.525,0.594,0.543,ON
2018-03-15,04:35,25.06,77.1,96916.48,969.16,211,107,79,88,333.68,2050,-1169,-5037,-0.01,0.05,1.01,0.513,0.588,0.537,0.588,ON
2018-03-15,05:05,25.07,77.13,96910.28,969.1,211,107,79,88,332.99,2098,-1211,-5032,-0.01,0.05,1.0,0.531,0.543,0.579,0.543,ON
2018-03-15,05:35,25.06,77.11,96893.75,968.94,211,107,79,88,333.68,2096,-1253,-5054,-0.01,0.05,1.0,0.525,0.564,0.558,0.531,ON
2018-03-15,06:05,25.49,77.88,96894.98,968.95,211,107,79,88,334.44,2078,-1216,-5062,-0.01,0.05,0.99,0.522,0.591,0.528,0.6,ON
2018-03-15,06:35,25.2,77.37,96897.19,968.97,211,107,79,88,333.78,2111,-1243,-5077,-0.01,0.05,0.98,0.534,0.585,0.525,0.624,ON
2018-03-15,07:05,24.9,76.83,96892.7,968.93,213,107,79,88,336.11,2060,-1158,-5055,-0.0,0.05,0.99,0.516,0.561,0.588,0.558,ON
2018-03-15,07:35,24.83,76.69,96893.07,968.93,254,106,85,96,334.13,2104,-1217,-5059,-0.01,0.05,1.0,0.576,0.522,0.57,0.564,ON
2018-03-15,08:05,24.71,76.47,96893.53,968.94,370,108,96,105,335.17,2096,-1225,-5054,-0.01,0.05,1.0,0.582,0.528,0.564,0.57,ON
2018-03-15,08:35,24.74,76.53,96893.12,968.93,520,111,103,111,335.36,2112,-1233,-5071,-0.01,0.05,0.98,0.534,0.594,0.534,0.627,ON
2018-03-15,09:05,24.9,76.81,96877.35,968.77,1173,117,115,117,336.08,2084,-1209,-5061,-0.01,0.05,1.0,0.531,0.597,0.57,0.543,ON
2018-03-15,09:35,24.92,76.85,96862.14,968.62,982,118,113,118,336.39,2061,-1179,-5043,-0.01,0.05,1.0,0.564,0.537,0.546,0.618,ON
2018-03-15,10:05,24.7,76.46,96846.43,968.46,1307,115,113,117,334.08,2113,-1226,-5081,-0.01,0.05,1.0,0.567,0.528,0.6,0.546,ON
2018-03-15,10:35,24.57,76.22,96816.95,968.17,1169,114,113,118,334.88,2107,-1229,-5056,-0.01,0.04,1.0,0.558,0.552,0.558,0.558,ON
2018-03-15,11:05,24.66,76.39,96801.91,968.02,3118,110,108,108,335.37,2093,-1202,-4998,-0.01,0.05,1.01,0.567,0.564,0.525,0.573,ON
2018-03-15,11:35,24.83,76.69,96781.26,967.81,4701,109,106,105,335.29,2065,-1229,-5007,-0.01,0.05,1.0,0.582,0.531,0.564,0.573,ON
2018-03-15,12:05,24.7,76.46,96763.28,967.63,2915,110,108,110,335.97,2095,-1231,-5002,-0.01,0.05,1.0,0.573,0.525,0.591,0.564,ON
2018-03-15,12:35,24.34,75.81,96752.69,967.53,1305,105,105,109,334.72,2122,-1195,-5080,-0.01,0.05,1.01,0.543,0.564,0.537,0.621,ON
2018-03-15,13:05,24.24,75.63,96751.65,967.52,3318,108,108,109,336.28,2090,-1175,-5052,-0.01,0.05,1.0,0.543,0.591,0.546,0.546,ON
2018-03-15,13:35,24.29,75.72,96740.31,967.4,2465,109,109,110,334.05,2080,-1194,-5079,-0.01,0.05,1.01,0.519,0.564,0.558,0.552,ON
2018-03-15,14:05,24.06,75.3,96711.32,967.11,1280,107,107,111,334.37,2068,-1213,-5122,-0.01,0.03,1.0,0.525,0.552,0.57,0.531,ON
2018-03-15,14:35,23.8,74.84,96690.54,966.91,849,107,104,110,335.28,2105,-1205,-5082,-0.01,0.05,1.0,0.537,0.546,0.579,0.528,ON
2018-03-15,15:05,23.64,74.55,96675.75,966.76,1316,109,107,111,334.32,2099,-1215,-5088,-0.01,0.05,1.0,0.543,0.549,0.582,0.528,ON
2018-03-15,15:35,23.48,74.26,96678.06,966.78,840,108,104,108,334.79,2106,-1223,-5116,-0.01,0.05,1.0,0.546,0.546,0.585,0.54,ON
2018-03-15,16:05,22.61,72.7,96681.88,966.82,701,108,102,108,335.55,2073,-1248,-5147,-0.01,0.06,0.99,0.567,0.549,0.564,0.594,ON
2018-03-15,16:35,22.09,71.75,96701.35,967.01,623,108,101,108,333.94,2125,-1244,-5099,-0.01,0.05,1.0,0.558,0.534,0.597,0.531,ON
2018-03-15,17:05,21.92,71.46,96744.32,967.44,646,109,102,108,334.7,2132,-1229,-5119,-0.01,0.05,1.0,0.54,0.588,0.543,0.624,ON
2018-03-15,17:35,22.11,71.8,96784.6,967.85,574,110,101,108,334.21,2132,-1214,-5124,-0.01,0.05,1.0,0.519,0.6,0.54,0.6,ON
2018-03-15,18:05,20.96,69.72,96818.79,968.19,329,106,91,100,334.17,2094,-1223,-5127,-0.02,0.05,1.02,0.552,0.534,0.573,0.621,ON
2018-03-15,18:35,21.33,70.39,96851.65,968.52,406,143,118,125,334.52,2122,-1256,-5089,-0.01,0.05,1.0,0.54,0.603,0.537,0.645,ON
2018-03-15,19:05,23.41,74.14,96890.06,968.9,363,151,120,126,335.2,2080,-1196,-5061,-0.01,0.05,1.0,0.573,0.543,0.549,0.612,ON
2018-03-15,19:35,24.15,75.47,96906.38,969.06,334,151,118,124,334.95,2096,-1230,-5038,-0.01,0.05,1.0,0.528,0.564,0.57,0.54,ON
2018-03-15,20:05,24.67,76.4,96945.53,969.46,340,152,119,124,334.54,2101,-1207,-5043,-0.01,0.05,1.0,0.576,0.528,0.576,0.567,ON
2018-03-15,20:35,25.22,77.4,96973.67,969.74,345,152,119,125,335.7,2074,-1160,-5073,-0.01,0.05,1.0,0.516,0.573,0.591,0.579,ON
2018-03-15,21:05,25.85,78.52,96997.79,969.98,343,153,119,125,335.7,2104,-1196,-5046,-0.01,0.05,1.0,0.522,0.567,0.552,0.558,ON
2018-03-15,21:35,25.81,78.45,97001.6,970.02,346,153,120,126,336.21,2080,-1204,-5035,-0.0,0.05,1.01,0.573,0.522,0.564,0.567,ON
2018-03-15,22:05,25.95,78.7,97021.35,970.21,348,153,120,126,335.73,2061,-1221,-5062,-0.01,0.05,1.0,0.573,0.522,0.579,0.567,ON
2018-03-15,22:35,25.95,78.7,97022.31,970.22,344,152,120,125,335.67,2064,-1191,-5020,-0.01,0.05,1.0,0.543,0.531,0.585,0.522,ON
2018-03-15,23:05,28.96,84.13,97017.83,970.18,349,153,120,126,335.31,2037,-1096,-4962,-0.0,0.05,1.0,0.522,0.597,0.552,0.534,ON
2018-03-15,23:35,27.29,81.12,97005.0,970.05,143,222,183,181,336.38,2081,-1210,-5019,-0.01,0.05,1.01,0.564,0.528,0.591,0.519,OFF
