date,time,tempC,tempF,pressurePA,presureMB,light,R,G,B,heading,magnetometer0,magnetometer1,magnetometer2,accelX,accelY,accelZ,anal0,anal1,anal2,anal3,leds
2018-03-12,00:05,26.09,78.97,98563.61,985.64,193,229,194,192,334.3,2104,-1207,-5054,-0.0,0.05,0.99,0.525,0.594,0.522,0.618,OFF
2018-03-12,00:35,25.84,78.52,98574.12,985.74,192,231,193,193,335.74,2096,-1231,-5012,-0.0,0.05,1.01,0.573,0.555,0.543,0.597,OFF
2018-03-12,01:05,25.8,78.44,98582.46,985.82,183,231,195,193,335.63,2067,-1208,-5049,-0.01,0.05,1.0,0.513,0.576,0.558,0.546,OFF
2018-03-12,01:35,25.26,77.47,98578.06,985.78,0,0,0,0,333.48,2088,-1227,-5050,-0.0,0.05,0.99,0.558,0.576,0.525,0.576,OFF
2018-03-12,02:05,25.0,77.01,98548.4,985.48,0,0,0,0,333.6,2107,-1180,-5022,-0.01,0.05,1.0,0.513,0.579,0.537,0.576,OFF
2018-03-12,02:35,24.79,76.62,98528.92,985.29,0,0,0,0,335.25,2135,-1177,-5056,-0.01,0.05,1.0,0.546,0.57,0.543,0.615,OFF
2018-03-12,03:05,24.69,76.45,98506.93,985.07,0,0,0,0,334.84,2088,-1212,-5072,-0.01,0.05,1.0,0.54,0.594,0.522,0.624,OFF
2018-03-12,03:35,24.23,75.62,98459.42,984.59,0,0,0,0,336.04,2064,-1229,-5029,-0.0,0.04,1.0,0.519,0.579,0.579,0.561,OFF
2018-03-12,04:05,23.84,74.92,98419.68,984.2,0,0,0,0,333.83,2088,-1219,-5061,-0.01,0.05,1.0,0.534,0.582,0.54,0.624,OFF
2018-03-12,04:35,23.57,74.42,98389.71,983.9,0,0,0,0,334.34,2134,-1217,-5068,-0.01,0.05,1.0,0.552,0.588,0.543,0.63,OFF
2018-03-12,05:05,23.62,74.51,98361.41,983.61,0,0,0,0,333.81,2137,-1246,-5046,-0.01,0.05,1.0,0.573,0.525,0.585,0.564,OFF
2018-03-12,05:35,23.41,74.14,98349.17,983.49,0,0,0,0,334.21,2096,-1267,-5059,-0.01,0.05,1.0,0.573,0.528,0.573,0.57,OFF
2018-03-12,06:05,23.29,73.92,98336.4,983.36,0,0,0,0,335.82,2079,-1207,-5062,-0.01,0.05,1.0,0.528,0.543,0.597,0.576,OFF
2018-03-12,06:35,23.04,73.48,98329.52,983.3,0,0,0,0,334.41,2118,-1213,-5116,-0.01,0.05,1.0,0.528,0.561,0.564,0.549,OFF
2018-03-12,07:05,23.05,73.48,98338.76,983.39,1,0,0,0,334.29,2114,-1238,-5060,-0.01,0.04,1.0,0.54,0.543,0.585,0.525,OFF
2018-03-12,07:35,22.85,73.12,98354.24,983.54,35,131,131,145,334.14,2113,-1200,-5105,-0.01,0.05,1.0,0.546,0.543,0.591,0.531,OFF
2018-03-12,08:05,23.34,74.02,98321.81,983.22,137,122,122,130,335.0,2106,-1238,-5098,-0.01,0.05,1.0,0.531,0.585,0.525,0.603,OFF
2018-03-12,08:35,23.48,74.26,98307.29,983.07,231,118,119,124,334.37,2098,-1233,-5103,-0.01,0.05,1.01,0.561,0.561,0.549,0.594,OFF
2018-03-12,09:05,24.38,75.89,98300.09,983.0,457,118,120,123,335.17,2104,-1225,-5097,-0.01,0.05,1.0,0.573,0.525,0.591,0.54,OFF
2018-03-12,09:35,24.73,76.52,98286.54,982.87,558,117,118,121,335.39,2109,-1235,-5023,-0.01,0.04,1.0,0.57,0.528,0.582,0.558,OFF
2018-03-12,10:05,25.12,77.22,98244.87,982.45,722,116,117,120,334.46,2111,-1174,-5054,-0.01,0.05,1.0,0.579,0.552,0.57,0.594,OFF
2018-03-12,10:35,25.33,77.6,98203.57,982.04,746,112,114,116,333.58,2082,-1202,-5042,-0.01,0.05,1.0,0.561,0.546,0.546,0.588,OFF
2018-03-12,11:05,25.25,77.45,98199.88,982.0,954,111,112,114,335.67,2107,-1238,-5031,-0.01,0.05,1.0,0.582,0.534,0.573,0.573,OFF
2018-03-12,11:35,24.7,76.46,98174.82,981.75,1109,110,111,113,334.56,2131,-1231,-5052,-0.01,0.05,1.01,0.549,0.534,0.597,0.531,OFF
2018-03-12,12:05,24.33,75.79,98134.91,981.35,819,110,112,114,334.97,2103,-1153,-5085,-0.01,0.05,1.01,0.522,0.588,0.555,0.582,OFF
2018-03-12,12:35,23.92,75.06,98108.32,981.08,714,110,112,115,334.37,2091,-1223,-5058,-0.01,0.05,0.99,0.585,0.528,0.573,0.567,OFF
2018-03-12,13:05,23.74,74.74,98063.37,980.63,844,110,111,114,335.4,2101,-1167,-5091,-0.01,0.05,1.0,0.573,0.528,0.579,0.564,OFF
2018-03-12,13:35,23.54,74.38,98018.96,980.19,943,108,111,113,334.78,2086,-1217,-5038,-0.01,0.05,1.0,0.543,0.591,0.528,0.633,OFF
2018-03-12,14:05,22.95,73.31,97958.95,979.59,652,110,112,115,334.95,2104,-1240,-5061,-0.01,0.05,0.99,0.588,0.525,0.579,0.57,OFF
