date,time,tempC,tempF,pressurePA,presureMB,light,R,G,B,heading,magnetometer0,magnetometer1,magnetometer2,accelX,accelY,accelZ,anal0,anal1,anal2,anal3,leds
2018-03-13,00:05,26.03,78.86,97670.9,976.71,396,166,133,138,336.85,2099,-1206,-5050,-0.01,0.05,1.0,0.519,0.591,0.531,0.6,ON
2018-03-13,00:35,26.31,79.35,97656.64,976.57,401,167,134,138,335.3,2070,-1221,-5017,-0.01,0.05,1.0,0.555,0.528,0.591,0.522,ON
2018-03-13,01:05,26.43,79.57,97621.74,976.22,406,167,134,138,335.9,2085,-1208,-4984,-0.01,0.05,1.01,0.561,0.573,0.522,0.564,ON
2018-03-13,01:35,26.5,79.69,97577.76,975.78,404,167,134,138,334.76,2096,-1195,-5004,-0.01,0.04,1.0,0.552,0.57,0.531,0.621,ON
2018-03-13,02:05,26.57,79.83,97535.31,975.35,394,166,133,137,334.98,2121,-1201,-5047,-0.01,0.05,1.01,0.525,0.594,0.579,0.543,ON
2018-03-13,02:35,26.57,79.83,97551.66,975.51,397,166,134,138,335.94,2109,-1269,-5063,-0.01,0.05,1.0,0.525,0.549,0.567,0.531,ON
2018-03-13,03:05,26.79,80.22,97516.14,975.16,401,167,134,138,335.84,2101,-1202,-4996,-0.0,0.05,1.0,0.573,0.552,0.525,0.585,ON
2018-03-13,03:35,26.77,80.19,97489.03,974.89,210,108,78,88,335.74,2108,-1192,-5012,-0.01,0.04,1.0,0.537,0.582,0.528,0.621,ON
2018-03-13,04:05,26.68,80.02,97465.87,974.66,210,108,78,88,335.29,2094,-1219,-5034,-0.01,0.05,0.99,0.528,0.588,0.522,0.621,ON
2018-03-13,04:35,26.76,80.17,97462.72,974.63,210,108,78,88,334.25,2130,-1168,-4997,-0.01,0.05,1.0,0.57,0.543,0.537,0.603,ON
2018-03-13,05:05,26.66,79.99,97459.81,974.6,210,108,78,88,334.71,2113,-1210,-5015,-0.0,0.05,1.0,0.555,0.522,0.588,0.531,ON
2018-03-13,05:35,26.72,80.1,97453.05,974.53,210,108,78,88,334.55,2100,-1233,-5005,-0.01,0.05,0.99,0.555,0.522,0.591,0.522,ON
2018-03-13,06:05,26.55,79.8,97457.64,974.58,210,108,78,88,334.81,2071,-1204,-5003,-0.01,0.05,0.99,0.528,0.591,0.522,0.618,ON
2018-03-13,06:35,26.85,80.34,97478.72,974.79,210,108,78,88,334.9,2062,-1201,-4976,-0.0,0.05,0.99,0.552,0.555,0.543,0.594,ON
2018-03-13,07:05,26.75,80.15,97492.3,974.92,210,108,78,88,333.81,2087,-1199,-5002,-0.0,0.05,1.0,0.519,0.561,0.582,0.561,ON
2018-03-13,07:35,26.67,80.01,97525.48,975.25,226,107,81,91,334.83,2059,-1189,-4997,-0.0,0.05,1.0,0.507,0.573,0.54,0.558,ON
2018-03-13,08:05,26.83,80.3,97546.76,975.47,280,107,87,97,334.03,2072,-1228,-5004,-0.01,0.05,1.0,0.582,0.513,0.582,0.549,ON
2018-03-13,08:35,27.04,80.68,97558.2,975.58,424,110,97,104,334.52,2094,-1186,-5035,-0.0,0.05,0.99,0.531,0.582,0.522,0.621,ON
2018-03-13,09:05,27.46,81.42,97539.34,975.39,620,112,102,107,334.81,2070,-1157,-5039,-0.0,0.05,1.0,0.531,0.588,0.546,0.531,ON
2018-03-13,09:35,27.22,81.0,97531.04,975.31,517,109,99,106,334.36,2062,-1161,-4970,-0.0,0.05,0.99,0.522,0.528,0.57,0.588,ON
2018-03-13,10:05,27.15,80.87,97520.81,975.21,491,109,98,105,334.22,2059,-1246,-5031,-0.01,0.05,1.0,0.561,0.528,0.543,0.609,ON
2018-03-13,10:35,27.07,80.73,97509.93,975.1,692,108,102,108,335.14,2074,-1210,-4996,-0.01,0.05,0.99,0.525,0.528,0.576,0.588,ON
2018-03-13,11:05,26.39,79.5,97510.81,975.11,861,108,103,109,335.42,2079,-1260,-4990,-0.01,0.05,1.0,0.54,0.594,0.522,0.627,ON
2018-03-13,11:35,25.72,78.3,97502.43,975.02,818,109,104,109,336.03,2097,-1223,-5033,-0.01,0.05,1.0,0.531,0.546,0.573,0.528,ON
2018-03-13,12:05,25.47,77.85,97456.67,974.57,1737,108,107,110,336.89,2060,-1166,-5028,-0.01,0.05,1.0,0.573,0.564,0.534,0.591,ON
2018-03-13,12:35,25.41,77.74,97434.45,974.34,1894,108,108,111,335.19,2093,-1215,-5081,-0.01,0.05,1.0,0.513,0.564,0.558,0.546,ON
2018-03-13,13:05,24.97,76.94,97449.86,974.5,1103,109,106,110,334.42,2099,-1197,-5089,-0.01,0.05,0.99,0.525,0.597,0.525,0.615,ON
2018-03-13,13:35,24.39,75.9,97440.38,974.4,597,108,100,106,334.49,2089,-1240,-5074,-0.01,0.05,0.99,0.531,0.588,0.537,0.633,ON
2018-03-13,14:05,23.36,74.05,97427.11,974.27,537,108,99,104,334.44,2088,-1223,-5096,-0.01,0.05,1.0,0.573,0.534,0.594,0.537,ON
2018-03-13,14:35,22.65,72.77,97413.02,974.13,606,109,101,106,333.67,2087,-1193,-5112,-0.01,0.06,0.99,0.534,0.594,0.537,0.636,ON
2018-03-13,15:05,22.24,72.02,97396.2,973.96,516,110,99,105,334.42,2123,-1213,-5127,-0.01,0.05,1.0,0.579,0.543,0.6,0.543,ON
2018-03-13,15:35,21.79,71.23,97400.42,974.0,585,109,101,106,335.02,2102,-1243,-5113,-0.03,0.05,1.01,0.543,0.597,0.573,0.546,ON
2018-03-13,16:05,22.38,72.29,97393.45,973.93,780,104,101,108,332.88,2107,-1211,-5128,-0.01,0.05,1.0,0.534,0.594,0.528,0.624,ON
2018-03-13,16:35,21.53,70.75,97388.33,973.88,704,111,103,108,334.3,2137,-1194,-5150,-0.01,0.04,1.0,0.558,0.54,0.597,0.531,ON
2018-03-13,17:05,21.23,70.22,97396.67,973.97,520,108,99,105,334.98,2115,-1203,-5122,-0.01,0.05,1.0,0.57,0.543,0.57,0.591,ON
2018-03-13,17:35,20.92,69.66,97384.72,973.85,490,107,99,107,334.8,2088,-1195,-5121,-0.01,0.05,1.0,0.534,0.609,0.561,0.549,ON
2018-03-13,18:05,20.51,68.92,97377.28,973.77,362,111,95,101,334.72,2105,-1243,-5144,-0.01,0.05,1.01,0.543,0.591,0.534,0.636,ON
2018-03-13,18:35,20.22,68.39,97391.83,973.92,257,109,86,95,334.39,2112,-1270,-5119,-0.02,0.05,1.01,0.534,0.564,0.579,0.552,ON
2018-03-13,19:05,19.84,67.71,97390.42,973.9,214,108,79,89,332.92,2157,-1235,-5138,-0.01,0.05,1.0,0.579,0.57,0.57,0.597,ON
2018-03-13,19:35,22.44,72.4,97409.33,974.09,391,165,133,137,335.04,2120,-1196,-5092,-0.01,0.05,1.0,0.516,0.597,0.54,0.609,ON
2018-03-13,20:05,23.49,74.29,97402.23,974.02,384,164,131,136,335.19,2104,-1207,-5084,-0.01,0.05,1.01,0.573,0.528,0.585,0.573,ON
2018-03-13,20:35,24.03,75.25,97377.48,973.77,384,164,131,136,337.06,2102,-1214,-5103,-0.01,0.05,1.0,0.516,0.585,0.558,0.561,ON
2018-03-13,21:05,24.19,75.55,97374.28,973.74,387,164,132,137,335.0,2121,-1218,-5065,-0.01,0.05,1.0,0.528,0.594,0.522,0.624,ON
2018-03-13,21:35,24.8,76.64,97334.1,973.34,390,165,132,137,334.94,2066,-1205,-5030,-0.01,0.05,0.99,0.528,0.552,0.582,0.537,ON
2018-03-13,22:05,25.06,77.11,97316.86,973.17,396,166,133,137,335.15,2116,-1140,-5027,-0.01,0.05,1.0,0.531,0.591,0.57,0.543,ON
2018-03-13,22:35,25.32,77.57,97290.4,972.9,397,165,133,138,334.92,2110,-1169,-5024,-0.01,0.05,0.99,0.564,0.588,0.528,0.558,ON
2018-03-13,23:05,25.35,77.63,97266.28,972.66,395,165,133,138,335.05,2092,-1248,-5047,-0.01,0.05,1.0,0.519,0.576,0.558,0.576,ON
2018-03-13,23:35,25.39,77.71,97221.59,972.22,397,166,133,138,335.41,2092,-1203,-5056,-0.01,0.04,1.0,0.534,0.585,0.525,0.621,ON
